GameDuration,teamDiffAssists,teamDiffAvgLevel,teamDiffCSPerMin,teamDiffDeaths,teamDiffDragons,teamDiffEliteMonsters,teamDiffGoldPerMin,teamDiffHeralds,teamDiffKills,teamDiffTotalExperience,teamDiffTotalGold,teamDiffTotalJungleMinionsKilled,teamDiffTotalMinionsKilled,teamDiffTowersDestroyed,teamDiffWardsDestroyed,teamDiffWardsPlaced,EarlyGameLead
24.0,0,0.40000000000000036,3.8000000000000007,2,1,1,203.0999999999999,0,2,1449,2031,14,38,0,1,22,1
24.0,1,0.20000000000000018,1.9000000000000021,0,1,1,13.100000000000136,0,0,370,131,8,19,0,2,6,0
15.0,7,0.40000000000000036,2.299999999999997,6,1,0,269.9000000000001,1,6,2749,2699,1,23,0,0,14,1
31.0,1,0.6000000000000005,3.6999999999999993,2,1,1,167.20000000000005,0,2,2698,1672,13,37,0,0,3,0
21.0,6,0.40000000000000036,2.099999999999998,4,1,1,120.10000000000014,0,4,316,1201,2,21,0,1,1,1
28.0,1,0.20000000000000018,2.5,2,1,2,10.800000000000182,1,2,59,108,11,25,0,1,15,0
40.0,5,0.6000000000000005,5.400000000000002,3,1,1,463.29999999999995,0,3,2269,4633,13,54,1,1,8,0
32.0,4,0.20000000000000018,2.6999999999999993,5,1,1,226.20000000000005,0,5,1391,2262,14,27,0,1,0,1
27.0,5,0.20000000000000018,0.10000000000000142,1,1,1,4.900000000000091,0,1,500,49,25,1,0,1,7,1
36.0,1,0.0,0.3000000000000007,2,1,0,168.70000000000005,1,2,1089,1687,2,3,0,1,18,1
26.0,9,0.7999999999999998,0.40000000000000213,8,1,2,393.3000000000002,1,8,2922,3933,28,4,0,0,108,1
19.0,3,0.8000000000000007,2.099999999999998,6,1,1,406.10000000000014,0,6,4397,4061,31,21,0,2,4,1
21.0,4,0.8000000000000007,5.199999999999999,6,0,1,492.0,1,6,3280,4920,20,52,1,1,37,1
24.0,1,0.20000000000000018,1.6999999999999993,1,0,0,170.5,0,1,1839,1705,10,17,0,2,8,1
23.0,3,0.20000000000000018,1.1999999999999993,1,1,0,10.5,1,1,1547,105,4,12,0,1,8,1
22.0,3,0.20000000000000018,0.09999999999999787,2,1,1,55.40000000000009,0,2,521,554,13,1,0,1,3,1
15.0,1,0.20000000000000018,4.300000000000001,1,1,1,103.70000000000005,0,1,1577,1037,9,43,0,1,1,0
